ticker;data;open;high;low;close;vol;series;name;reg_date;nomimal;currency;end_date;coup_type;coup_percent;payouts
RU000A0JTKJ5;2013-02-14;100.14;100.2;100.01;100.03;442314;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-02-15;100.2;100.2;100.03;100.2;74590;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-02-19;100.19;100.25;100.19;100.2;61414;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-02-20;100.18;100.25;100.18;100.25;100001;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-02-21;100.15;100.15;100.15;100.15;10000;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-02-22;100.1;100.12;100.1;100.12;40000;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-02-26;100.11;100.11;100.11;100.11;12000;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-02-27;100.0;100.1;100.0;100.1;240000;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-02-28;100.01;100.1;100.01;100.1;8300;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
RU000A0JTKJ5;2013-03-01;100.1;100.15;100.1;100.15;32001;ТРАНСКОНТЕЙНЕР-4-ОБ;процентные документарные на предъявителя неконвертируемые облигации с обязательным централизованным хранением серии 04;04.12.2012;1000;рубль;26.01.2018;пд;0.0835;2
