ticker;data;open;high;low;close;vol;series;name;reg_date;nomimal;currency;end_date;coup_type;coup_percent;payouts
RU000A0JTKD8;2013-02-07;100.25;100.25;100.01;100.2;330121;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-02-08;98.5;100.25;98.5;100.2;145003;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-02-11;100.15;100.15;100.15;100.15;1;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-02-12;100.14;100.15;100.14;100.15;11350;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-02-13;101.0;101.0;100.0;100.16;112002;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-02-15;100.18;100.18;100.18;100.18;1700;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-02-18;100.0;100.0;100.0;100.0;3;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-02-19;101.0;101.0;101.0;101.0;1;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-02-20;90.0;100.14;90.0;100.0;80004;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-02-21;100.05;100.05;100.0;100.0;50001;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-02-26;100.09;100.09;100.09;100.09;12000;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-02-28;100.0;100.0;100.0;100.0;1;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-03-01;100.0;100.01;100.0;100.01;2001;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-03-05;100.01;100.01;100.01;100.01;1;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-03-18;100.01;100.01;100.01;100.01;193185;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-03-26;100.15;100.15;100.15;100.15;498;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-03-29;100.01;100.25;100.01;100.25;10001;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-04-01;100.25;100.25;91.5;100.15;4;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-04-02;100.02;100.13;100.02;100.12;150004;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-04-03;100.13;100.13;100.13;100.13;50001;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-04-04;100.18;100.3;100.15;100.15;149504;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-04-05;101.0;101.0;100.0;100.0;2;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-04-08;101.0;101.0;91.87;99.8;33798;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-04-09;100.94;100.95;100.6;100.6;5301;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
RU000A0JTKD8;2013-04-11;100.5;100.5;100.5;100.5;28000;Ростелеком-15-об;документарные процентные неконвертируемые облигации на предъявителя серии 15 с обязательным централизованным хранением;28.06.2012;1000;рубль;24.01.2018;пд;0.082;2
